Movie Name,IMDb Rating
The Gold Rush,8.1
Sherlock Jr.,8.1
Mary and Max,8.1
The Deer Hunter,8.1
The Wages of Fear,8.1
The General,8.1
Logan,8.1
Mr. Smith Goes to Washington,8.1
Rocky,8.1
On the Waterfront,8.1
Tokyo Story,8.1
Wild Strawberries,8.1
Pirates of the Caribbean: The Curse of the Black Pearl,8.1
Spotlight,8.1
The Third Man,8.1
La haine,8.1
Maharaja,8.3
Jai Bhim,8.6
The Terminator,8.1
The Sound of Music,8.1
The Big Lebowski,8.1
A Silent Voice: The Movie,8.2
The Best Years of Our Lives,8.1
The Seventh Seal,8.1
Room,8.1
Before Sunset,8.1
Hotel Rwanda,8.1
Platoon,8.1
Chainsaw Man - The Movie: Reze Arc,8.4
The Incredibles,8.0
The Exorcist,8.1
Hachi: A Dog's Tale,8.1
Rush,8.1
The Wizard of Oz,8.1
Stand by Me,8.1
The Iron Giant,8.1
The Passion of Joan of Arc,8.1
My Father and My Son,8.2
The Battle of Algiers,8.1
The Handmaiden,8.1
Network,8.1
Gangs of Wasseypur,8.2
Drishyam,8.2
The Grapes of Wrath,8.1
To Be or Not to Be,8.1
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,8.2
Andhadhun,8.2
